Model                Brand            Cell Type           Efficiency  Length(nominal)  Width(nominal)  Thickness  M    N    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance  Price
JKM300M-60,          Jinko,           Monocrystalline,    0.1833,     1.65(1.65),      0.992(0.99),    0.04,      10,  6,   300,    32.6,  9.21,  40.1,  9.72,  -0.0039,  45,    19,     Black,  Partial,         800
LG300N1C-B3,         LG,              Monocrystalline,    0.1829,     1.64(1.65),      1(0.99),        0.035,     10,  6,   300,    32,    9.4,   39.8,  9.98,  -0.0041,  45,    16.8,   Black,  Partial,         800
LG350Q1K-A5,         LG,              Monocrystalline,    0.203,      1.7(1.65),       1.016(0.99),    0.04,      10,  6,   350,    36.2,  9.68,  42.9,  10.39, -0.003,   44,    18.5,   Black,  Partial,         800
OPT340-72-4-100,     Suniva,          Monocrystalline,    0.1743,     1.97(1.96),      0.99(0.99),     0.038,     12,  6,   340,    37.8,  8.99,  46.0,  9.78,  -0.0042,  46,    23,     Black,  Partial,         1000
PV-UJ235GA6,         Mitsubishi,      Polycrystalline,    0.143,      1.658(1.65),     0.994(0.99),    0.046,     10,  6,   235,    30.5,  7.71,  36.8,  8.49,  -0.0045,  47,    20,     Blue,   Partial,         800
Q.PRO-G4 265,        Q-Cells,         Polycrystalline,    0.1587,     1.67(1.65),      1.0(0.99),      0.032,     10,  6,   265,    30.75, 8.62,  38.01, 9.23,  -0.0041,  45,    18.8,   Blue,   Partial,         800
SE-F280CzD-3y,       SunEdison,       Monocrystalline,    0.1706,     1.658(1.65),     0.99(0.99),     0.05,      10,  6,   280,    30.4,  9.21,  38,    9.5,   -0.0045,  45,    19,     Blue,   Partial,         800
SE-R355EzC-4y,       SunEdison,       Monocrystalline,    0.1815,     1.976(1.96),     0.99(0.99),     0.035,     12,  6,   355,    38.3,  9.27,  46.8,  9.64,  -0.0044,  45,    21.2,   Black,  Partial,         800
Sharp NT-175UC1,     Sharp,           Monocrystalline,    0.134,      1.576(1.58),     0.826(0.83),    0.046,     12,  6,   175,    35.4,  4.95,  44.4,  5.4,   -0.0048,  45,    16,     Blue,   None,            600
Sharp NU-U245P1,     Sharp,           Monocrystalline,    0.1503,     1.64(1.65),      0.994(0.99),    0.046,     10,  6,   245,    30.4,  8.08,  37.3,  8.7,   -0.0048,  47.5,  20,     Blue,   None,            800
SPR-E19-235,         SunPower,        Monocrystalline,    0.193,      1.558(1.56),     0.798(0.8),     0.046,     12,  6,   235,    40.5,  5.80,  48.4,  6.18,  -0.0035,  45,    15,     Black,  High,            600
SPR-E19-320,         SunPower,        Monocrystalline,    0.199,      1.558(1.56),     1.046(1.05),    0.046,     12,  8,   320,    54.7,  5.86,  64.8,  6.24,  -0.0035,  45,    18.6,   Black,  High,            800
SPR-E20-245,         SunPower,        Monocrystalline,    0.20,       1.558(1.56),     0.798(0.8),     0.046,     12,  6,   245,    40.5,  6.05,  48.8,  6.43,  -0.0035,  45,    15,     Black,  High,            600
SPR-E20-327,         SunPower,        Monocrystalline,    0.204,      1.558(1.56),     1.046(1.05),    0.046,     12,  8,   327,    54.7,  5.98,  64.9,  6.46,  -0.0035,  45,    18.6,   Black,  High,            800
SPR-E20-435-COM,     SunPower,        Monocrystalline,    0.203,      2.073(2.07),     1.072(1.07),    0.046,     16,  8,   435,    72.9,  5.97,  85.6,  6.43,  -0.0035,  45,    25.4,   Black,  Partial,         700
SPR-P17-330-COM,     SunPower,        Polycrystalline,    0.160,      2.067(2.07),     0.998(1.0),     0.046,     12,  6,   330,    41.9,  7.88,  50.9,  8.47,  -0.0037,  45,    23.1,   Blue,   None,            700
SPR-P17-335-COM,     SunPower,        Polycrystalline,    0.162,      2.067(2.07),     0.998(1.0),     0.046,     12,  6,   335,    42.2,  7.94,  51.1,  8.51,  -0.0037,  45,    23.1,   Blue,   None,            710
SPR-P17-340-COM,     SunPower,        Polycrystalline,    0.165,      2.067(2.07),     0.998(1.0),     0.046,     12,  6,   340,    42.5,  8.00,  51.3,  8.52,  -0.0037,  45,    23.1,   Blue,   None,            720
SPR-P17-345-COM,     SunPower,        Polycrystalline,    0.167,      2.067(2.07),     0.998(1.0),     0.046,     12,  6,   345,    42.8,  8.06,  51.5,  8.57,  -0.0037,  45,    23.1,   Blue,   None,            730
SPR-P17-350-COM,     SunPower,        Polycrystalline,    0.170,      2.067(2.07),     0.998(1.0),     0.046,     12,  6,   350,    43.1,  8.12,  51.7,  8.65,  -0.0037,  45,    23.1,   Blue,   None,            740
SPR-P17-355-COM,     SunPower,        Polycrystalline,    0.172,      2.067(2.07),     0.998(1.0),     0.046,     12,  6,   355,    43.4,  8.18,  51.9,  8.68,  -0.0037,  45,    23.1,   Blue,   None,            750
SPR-X20-250-BLK,     SunPower,        Monocrystalline,    0.205,      1.558(1.56),     0.798(0.8),     0.046,     12,  6,   250,    42.8,  5.84,  50.9,  6.20,  -0.0029,  43,    17.6,   Black,  High,            600
SPR-X21-335-BLK,     SunPower,        Monocrystalline,    0.21,       1.558(1.56),     1.046(1.05),    0.046,     12,  8,   335,    57.3,  5.85,  67.9,  6.23,  -0.0029,  41.5,  18.6,   Black,  High,            800
